"Father" "Son"
"1" 66.5484521979528 61.2782121979528
"2" 64.7508821979528 64.7139821979528
"3" 66.4552621979528 64.8423621979528
"4" 67.2524421979528 64.2923221979528
"5" 62.6371721979528 65.7810721979528
"6" 64.5224821979528 65.7421521979528
"7" 66.8704721979528 65.5822521979528
"8" 66.2239221979528 65.4956821979528
"9" 67.5650321979528 66.1133221979528
"10" 68.4673221979528 65.4793821979528
"11" 60.5079421979528 66.7444521979528
"12" 64.4319721979528 66.8509621979528
"13" 65.1705721979528 67.1798621979528
"14" 65.5738021979528 66.9365821979528
"15" 66.1884521979528 66.7938521979528
"16" 66.6546021979528 66.2901121979528
"17" 67.8734721979528 66.5187521979528
"18" 67.0769821979528 67.0463421979528
"19" 68.8675921979528 66.5813921979528
"20" 68.2592321979528 66.9900221979528
"21" 69.2975821979528 66.6351421979528
"22" 71.0347421979528 67.0125621979528
"23" 64.0400821979528 68.0843021979528
"24" 65.3101021979528 67.8783621979528
"25" 65.9564421979528 67.6477621979528
"26" 66.4664421979528 67.4725321979528
"27" 66.2065621979528 67.4588121979528
"28" 67.2382321979528 67.9519621979528
"29" 67.0013521979528 67.2479121979528
"30" 67.0541021979528 67.4715821979528
"31" 68.4028821979528 67.4054221979528
"32" 68.0738221979528 67.4076721979528
"33" 68.0319221979528 67.9709721979528
"34" 69.4060721979528 67.2501721979528
"35" 69.7919221979528 67.8466021979528
"36" 69.2411721979528 67.5857121979528
"37" 69.9691121979528 67.7803121979528
"38" 70.8832121979528 67.8434821979528
"39" 73.3178521979528 67.9170521979528
"40" 63.9160921979528 68.7255221979528
"41" 65.9907721979528 68.9638821979528
"42" 65.9875421979528 68.4935621979528
"43" 65.4229721979528 68.2664121979528
"44" 66.9458621979528 68.5341421979528
"45" 66.5297121979528 68.3431021979528
"46" 67.1703221979528 70.7988421979528
"47" 70.1607221979528 70.5910821979528
"48" 68.0459121979528 63.1635221979528
"49" 66.3594821979528 67.2287421979528
"50" 71.1068621979528 70.4800621979528
"51" 66.3134421979528 68.8739121979528
"52" 66.8269721979528 68.6745321979528
"53" 67.3316321979528 68.5670621979528
"54" 67.3342121979528 68.7944021979528
"55" 67.0612921979528 69.1265921979528
"56" 67.3687421979528 68.9791721979528
"57" 67.2733321979528 68.4215621979528
"58" 68.5911021979528 69.0831821979528
"59" 68.1136821979528 68.7118521979528
"60" 68.9106921979528 68.3162321979528
"61" 68.7771021979528 68.7426221979528
